"Year_Birth","Education","Marital_Status","Income","Kidhome","Teenhome","Recency","MntWines","MntFruits","MntMeatProducts","MntFishProducts","MntSweetProducts","MntGoldProds","NumDealsPurchases","NumWebPurchases","NumCatalogPurchases","NumStorePurchases","NumWebVisitsMonth","Encoded_Education","Encoded_Marital_Status","Encoded_Dt_Customer","Response"
"1974","Graduation","Single",49166,"0","1","17",224,2,25,7,0,110,"2","5","3","3","6",3,4,15869,"0"
"1971","Graduation","Together",74538,"0","0","21",380,98,733,110,112,28,"1","8","8","5","3",3,5,15885,"1"
"1988","Graduation","Single",20518,"1","0","58",4,1,6,4,1,9,"1","1","1","2","5",3,4,16208,"0"
"1947","Basic","Together",28389,"0","0","49",1,5,3,7,4,8,"1","1","0","2","7",2,5,15664,"0"
"1968","Master","Divorced",27071,"1","0","90",8,3,19,0,2,3,"2","2","0","3","6",4,2,16183,"0"
"1985","Master","Together",40101,"1","0","73",171,3,129,26,24,62,"4","6","1","6","7",4,5,15627,"0"
"1968","PhD","Married",38443,"1","1","58",32,0,5,0,0,1,"2","1","0","3","7",5,3,16097,"0"
"1949","Master","Married",76995,"0","1","91",1012,80,498,0,16,176,"2","11","4","9","5",4,3,15792,"0"
"1979","Graduation","Single",57537,"1","0","83",191,56,139,51,8,100,"4","4","3","8","4",3,4,15984,"0"
"1956","Master","Together",74253.7100932822,"0","0","12",557.076122197323,36.0130701046437,490.77199364733,58.3652424514294,77.0130701046437,88.9630881166086,"1","5","5","7","8",3.17608617339283,3.35217234678566,15566.2522083707,"1"
"1950","PhD","Widow",76842,"0","0","37",605,10,345,84,54,32,"1","1","8","7","0",5,6,16134,"0"
"1973","2n Cycle","Married",23559,"1","0","87",25,5,19,7,0,23,"3","3","0","3","7",1,3,15771,"0"
"1975","Graduation","Married",46149,"0","1","36",254,6,71,4,0,27,"5","5","1","7","5",3,3,16038,"0"
"1966","Graduation","Married",54198,"1","1","13",185,0,28,3,2,17,"6","3","1","6","4",3,3,16056,"0"
"1968","Graduation","Married",64590,"0","0","98",920,138,168,36,46,30,"1","9","4","10","6",3,3,15627,"0"
"1965","Graduation","Married",44300,"1","1","65",30,0,9,0,0,3,"2","1","0","3","6",3,3,15879,"0"
"1962","PhD","Together",56067,"0","1","51",517,12,54,16,6,120,"2","7","4","7","5",5,5,15906,"0"
"1962","2n Cycle","Together",82122,"0","0","89",734,22,350,151,25,100,"1","3","9","13","1",1,5,15932,"0"
"1952","Graduation","Divorced",69142,"0","1","50",448,4,34,6,4,39,"3","8","1","7","5",3,2,16250,"0"
"1981","PhD","Together",44953,"0","0","31",728,17,133,11,8,124,"1","7","3","13","6",5,5,15695,"0"
"1980","Graduation","Married",19107,"1","0","49",2,4,9,10,5,16,"2","1","0","3","7",3,3,15939,"0"
"1962","Graduation","Divorced",63887,"0","1","38",897,23,207,15,11,92,"5","9","6","12","6",3,2,15561,"0"
"1971","Master","Married",34109,"0","1","39",9,1,5,2,1,4,"1","0","0","3","4",4,3,15867,"0"
"1970","2n Cycle","Married",15315,"0","0","27",7,4,13,15,8,17,"2","2","0","4","5",1,3,15772,"0"
"1982","2n Cycle","Single",74116,"0","0","53",871,111,704,145,55,166,"1","4","4","10","2",1,4,16069,"0"
"1958","Graduation","Married",48192,"0","0","76",1039,43,204,153,58,29,"3","2","8","12","8",3,3,15860,"1"
"1962","Master","Single",46132.4650155762,"0","0","88",57.5718348207884,0.0661483202129602,27.3202971294522,0.100963225588202,0,35.9791110567749,"4","4","6","2","1",4.00087037263438,3.99825925473124,15570.1732041542,"1"
"1978","Graduation","Married",28442,"2","0","53",19,3,10,11,8,6,"3","2","1","4","4",3,3,16125,"0"
"1978","Graduation","Married",17345,"1","0","79",4,9,16,17,0,12,"2","2","1","2","8",3,3,15410,"0"
"1973","PhD","Together",39435,"1","0","16",71,0,18,0,0,13,"1","3","1","2","7",5,5,15864,"0"
"1968","Graduation","Married",19514,"1","1","47",14,3,21,2,1,28,"4","3","1","2","8",3,3,16096,"0"
"1979","2n Cycle","Divorced",13533,"1","0","45",12,3,8,8,0,17,"2","2","0","3","7",1,2,15981,"0"
"1969","Graduation","Together",62882,"0","1","26",509,133,497,78,24,97,"2","7","5","6","4",3,5,15591,"0"
"1978","Graduation","Together",25851,"1","0","45",9,4,18,7,5,5,"2","2","0","3","7",3,5,16011,"0"
"1972","Master","Married",53761,"1","1","7",158,0,76,13,7,71,"6","4","4","3","5",4,3,16019,"0"
"1965","Graduation","Together",33456,"1","1","58",7,3,10,8,1,7,"2","1","0","3","7",3,5,16181,"0"
"1976","Master","Together",46106,"1","1","84",30,0,8,2,0,14,"1","1","1","2","6",4,5,16379,"0"
"1970","2n Cycle","Divorced",51715.8134810189,"1","1","32",428.718324732035,6.61786860413849,81.086471891962,11.3089343020692,5.63688565976918,80.5227833259851,"1","3","1","3","7",2.12737713195384,3.12737713195384,15871.0351629825,"1"
"1962","Master","Married",58646,"0","1","3",62,1,44,6,5,22,"1","2","1","4","4",4,3,15984,"0"
"1958","Graduation","Together",54279.0380233172,"1","1","80",90.7334941066802,13.1850035730749,57.9510986078531,45.9347981438041,23.3667470533401,47.9641389790922,"0","9","1","2","5",3.79869596287608,5.60065201856196,15636.2265630625,"1"
"1979","Graduation","Single",70337,"0","0","75",187,81,149,25,43,91,"1","2","2","12","1",3,4,16102,"0"
"1955","PhD","Married",38725,"1","1","52",31,0,6,2,1,5,"2","1","0","4","4",5,3,16348,"0"
"1971","PhD","Married",32011,"1","0","89",99,0,15,2,1,5,"3","2","1","4","7",5,3,15939,"0"
"1976","PhD","Together",37395,"1","0","47",18,0,9,0,1,11,"1","1","0","3","6",5,5,16106,"0"
"1989","2n Cycle","Together",10404,"1","0","52",2,2,11,10,6,12,"2","1","0","4","5",1,5,16165,"0"
"1955","PhD","Married",58482,"0","1","59",576,7,115,19,7,7,"2","7","4","9","6",5,3,16407,"0"
"1982","Master","Together",27590,"1","0","38",6,0,5,0,0,1,"1","1","0","2","7",4,5,15818,"0"
"1950","Master","Divorced",38054,"1","1","24",23,2,17,2,1,0,"2","2","0","3","7",4,2,16075,"0"
"1964","PhD","Married",31686,"1","1","31",11,0,5,0,0,1,"2","1","0","3","6",5,3,16196,"0"
"1976","Graduation","Married",17148,"1","0","80",9,9,11,13,10,16,"4","3","1","3","8",3,3,16098,"0"
"1975","2n Cycle","Widow",47682,"0","1","80",162,61,83,97,57,61,"4","4","3","8","5",1,6,15751,"0"
"1950","Master","Widow",64866,"0","1","9",508,5,21,7,5,10,"4","7","3","7","5",4,6,16096,"0"
"1968","Graduation","Married",19329,"1","0","39",24,1,16,12,2,5,"3","4","0","3","8",3,3,16053,"0"
"1969","Graduation","Together",47762.3007946033,"0","1","7",372.524700202979,83.4805041952059,231.778166353703,58.5927221179008,44.8600528715178,37.5359626067802,"5","6","1","13","5",4.8310225661844,4.0844887169078,15598.0554584116,"1"
"1984","2n Cycle","Married",65370,"0","0","1",71,22,112,138,89,29,"1","2","3","13","1",1,3,15713,"0"
"1946","Graduation","Together",37760,"0","0","20",84,5,38,150,12,28,"2","4","1","6","7",3,5,15583,"0"
"1960","Master","Together",17144,"1","1","96",18,2,19,0,2,6,"5","3","0","4","7",4,5,16116,"0"
"1960","Master","Together",37497.4883757683,"1","1","81",65.4175085241441,16.2344892513938,25.2363550777081,10.529155670898,1.35297776130028,26.1172446256969,"1","4","2","3","8",2.05893328390084,4.35297776130028,15948.3355633824,"1"
"1968","PhD","Divorced",50616,"0","1","56",128,0,16,0,1,4,"2","4","0","4","7",5,2,16178,"0"
"1976","Graduation","Married",53359,"1","1","4",173,4,30,3,6,41,"4","5","1","4","7",3,3,15852,"0"
"1985","Master","Married",20559,"1","0","88",13,1,29,3,0,7,"2","2","0","3","8",4,3,16042,"0"
"1948","PhD","Married",34469,"1","1","58",19,6,20,0,5,12,"3","1","1","4","4",5,3,16165,"0"
"1948","Graduation","Together",51315,"0","0","45",68,28,39,16,30,41,"1","2","2","5","2",3,5,16124,"0"
"1957","PhD","Married",44155,"1","1","24",22,1,9,0,0,14,"1","1","1","2","4",5,3,16089,"0"
"1986","PhD","Widow",28627.3554218067,"0","1","15",96.4031863114797,11.0804096686188,75.0510155339725,4.76104693091474,2.63986344379373,60.878816512879,"4","5","1","2","7",4.12004551873542,4.24009103747085,15693.2763129824,"1"
"1974","PhD","Together",28440,"1","0","87",38,1,24,0,0,0,"1","2","0","3","8",5,5,15893,"0"
"1986","Basic","Single",8940,"1","0","25",1,45,3,4,6,42,"3","3","1","3","8",2,4,15574,"0"
"1981","Graduation","Married",29009,"1","0","19",6,6,15,10,5,2,"2","2","0","3","6",3,3,16038,"0"
"1956","Graduation","Single",46998,"0","1","55",172,41,86,45,6,27,"5","5","3","5","7",3,4,15635,"0"
"1980","Master","Married",69661,"0","0","80",656,16,106,32,16,8,"1","7","3","12","3",4,3,16203,"0"
"1982","Graduation","Married",22448,"1","0","86",3,1,8,23,2,18,"3","2","1","3","3",3,3,16127,"0"
"1980","2n Cycle","Single",45889,"0","1","42",31,0,6,0,1,8,"1","1","0","3","6",1,4,15743,"0"
"1986","Graduation","Married",25252,"1","0","26",1,3,4,2,2,6,"1","1","0","2","8",3,3,16046,"0"
"1973","PhD","Together",63516,"1","1","30",141,11,114,15,14,5,"4","4","1","7","5",5,5,15863,"0"
"1962","Graduation","Married",71434,"0","1","4",711,36,217,172,96,168,"3","7","4","7","4",3,3,15966,"0"
"1986","Master","Married",28072,"1","0","10",30,0,10,2,0,5,"1","1","0","3","7",4,3,15924,"0"
"1967","PhD","Single",40304,"1","0","82",37,0,17,0,0,3,"1","2","0","3","7",5,4,15978,"0"
"1978","Master","Married",43783,"1","0","22",327,9,125,25,4,139,"6","7","1","8","7",4,3,16219,"0"
"1974","Graduation","Single",42373,"1","1","83",67,5,61,3,8,19,"5","2","1","5","5",3,4,15932,"0"
"1987","PhD","Single",43513.6720959842,"0","1","23",184.27453753422,81.996618875768,267.860040963627,82.7782275106292,57.7099385545589,37.4367827302776,"2","5","4","11","5",4.92832991969772,3.85665983939543,15952.6254104488,"1"
"1959","PhD","Divorced",62859,"0","1","37",1063,89,102,16,12,25,"4","9","4","6","6",5,2,15704,"0"
"1990","Graduation","Married",30093,"0","0","19",2,6,28,13,4,16,"1","2","0","3","7",3,3,15924,"0"
"1954","PhD","Single",90933,"0","0","90",1020,31,430,62,63,79,"1","4","6","4","1",5,4,16160,"0"
"1974","PhD","Married",45207,"1","1","64",203,0,10,0,0,2,"5","3","1","6","6",5,3,15624,"0"
"1982","Master","Married",21059,"1","0","40",8,3,19,3,3,8,"3","3","0","3","6",4,3,16252,"0"
"1972","Graduation","Married",56721,"1","1","64",157,6,39,6,13,75,"5","4","1","5","6",3,3,15644,"0"
"1975","Master","Married",7500,"1","0","19",3,1,10,3,2,12,"3","2","0","3","5",4,3,15746,"0"
"1978","Graduation","Married",44359,"1","1","19",20,0,14,7,3,1,"3","2","0","4","3",3,3,16238,"0"
"1978","Graduation","Together",16531,"1","0","43",2,13,6,7,5,11,"3","3","0","3","7",3,5,16239,"0"
"1974","PhD","Married",34596,"1","0","48",14,0,2,0,0,7,"1","1","0","2","8",5,3,15808,"0"
"1989","PhD","Single",42535.7963739787,"1","1","6",288.891874713823,43.9169613204431,123.260306917131,10.3796230817679,32.8799766662996,79.287515030941,"4","7","5","9","6",4.24075383646414,3.37962308176793,15903.2274414508,"1"
"1968","Master","Divorced",41335,"1","0","24",112,19,21,16,14,5,"3","4","1","4","7",4,2,16065,"0"
"1965","Graduation","Single",66294,"0","0","68",251,108,334,65,92,117,"1","4","3","5","2",3,4,16146,"0"
"1979","Master","Together",24401,"0","0","98",73,28,217,10,24,115,"3","6","1","6","8",4,5,15583,"0"
"1964","PhD","Married",65526,"0","1","22",397,19,69,12,0,9,"1","4","4","8","2",5,3,16378,"0"
"1958","Graduation","Single",94472,"0","1","75",1017,33,417,108,100,16,"1","5","5","5","5",3,4,16133,"0"
"1982","Master","Together",23661,"1","0","46",18,0,4,0,0,1,"1","1","0","3","7",4,5,15807,"0"
"1987","Graduation","Married",17323,"0","0","38",3,14,17,6,1,5,"1","1","0","3","8",3,3,15623,"0"
"1987","Master","Divorced",61787,"0","0","71",621,73,414,78,48,85,"1","8","4","6","5",4,2,15863,"0"
"1961","Graduation","Married",60544,"1","1","92",201,2,43,3,5,35,"4","5","1","5","6",3,3,15577,"0"
"1952","Graduation","Married",62998,"0","1","10",120,58,73,65,89,58,"5","5","4","5","5",3,3,15978,"0"
"1950","Graduation","Together",34026,"1","1","11",18,6,15,12,8,17,"3","2","1","3","5",3,5,15833,"0"
"1957","Graduation","Together",47320,"0","1","10",200,19,111,50,15,19,"6","5","1","8","6",3,5,15713,"0"
"1971","Master","Single",36230,"1","0","17",14,2,30,8,2,3,"1","2","0","4","5",4,4,15995,"0"
"1996","Basic","Married",14421,"0","0","81",0,0,2,3,3,8,"1","1","0","2","5",2,3,16118,"0"
"1980","Graduation","Together",44010,"1","0","46",186,36,234,86,72,48,"6","10","2","6","9",3,5,15626,"0"
"1986","Graduation","Married",92910,"0","0","42",551,137,792,179,103,33,"1","6","7","13","1",3,3,16184,"0"
"1973","Basic","Together",39044.7962486348,"1","1","26",38.2194671800826,8.3757106710691,37.0923351668753,2.3757106710691,12.0866497983225,16.4623604693916,"1","2","0","2","6",2.79190355702303,4.20809644297697,15893.9886292629,"1"
"1970","Master","Married",75677.8690829044,"0","0","20",893.555130881257,89.8499158336781,548.027705717832,40.7177789884154,44.0500280554406,44.0500280554406,"1","7","5","7","6",3.71071228175424,2.71071228175424,16080.2969155337,"1"
"1982","Master","Single",57470.9665993005,"1","0","12",145.392995180562,8.53907535225153,118.064762221649,20.1094109863043,13,29.3633185215294,"1","2","1","5","4",3.12695376761258,3.12695376761258,15990.5779861957,"1"
"1960","PhD","Single",48971.3855845733,"0","0","20",420.103542963509,0.406583174597472,36.33302296279,7.35527724865824,0,5.89738814812154,"6","4","1","5","6",5,2.27105544973165,15529.1772429617,"1"
"1970","Graduation","Single",43020,"1","0","79",45,7,99,4,25,43,"3","4","1","4","6",3,4,16039,"0"
"1971","Master","Divorced",42835,"1","1","64",379,4,93,12,9,98,"7","6","6","4","6",4,2,15886,"0"
"1962","PhD","Together",46732.1234207042,"0","1","80",162.921492730267,6.83724419027567,139.965052317828,20.3082878086716,28.7965552378446,47.3954069837928,"0","6","9","4","5",3.31977034918964,2.47965552378446,15708.6280581579,"1"
"1978","Graduation","Single",30168,"1","0","51",154,20,66,0,12,27,"7","6","1","4","9",3,4,15889,"0"
"1980","Graduation","Together",27736.3086494314,"1","1","87",45.0415575890802,3.54068755777553,28.7504350156523,4.16275023110211,19.9240645221435,33.1627502311021,"3","4","0","3","8",1.91862488444895,3.62206267332658,15608.6979981512,"1"
"1949","2n Cycle","Widow",74859,"0","0","63",570,73,614,133,102,73,"1","6","5","11","3",1,6,15770,"0"
"1971","Graduation","Married",73691,"0","1","58",707,21,250,85,43,73,"2","6","2","8","2",3,3,15867,"0"
"1971","Graduation","Together",71819,"0","1","70",1224,28,140,0,14,168,"3","3","3","5","6",3,5,15945,"0"
"1982","Master","Widow",54976.4281237565,"1","1","3",490.789597171592,0.579156308667734,40.621340875281,0,1.15831261733547,37.312655369984,"1","2","4","2","7",3.57915630866773,4.7374689260032,15950.7940490064,"1"
"1944","Master","Widow",45006,"0","0","90",162,25,53,16,0,10,"1","3","1","7","3",4,6,15904,"0"
"1977","Graduation","Married",34380,"1","0","68",72,7,58,13,1,24,"4","4","1","3","8",3,3,15741,"0"
"1964","2n Cycle","Single",51381.5,"1","1","49",5,1,9,2,0,4,"1","1","0","2","7",1,4,16405,"0"
"1946","PhD","Married",51012,"0","0","86",102,9,63,2,9,24,"1","4","1","4","6",5,3,15813,"0"
"1970","PhD","Single",57642,"0","1","24",580,6,58,8,0,27,"3","7","6","6","4",5,4,16314,"0"
"1975","Graduation","Married",40794,"0","1","18",261,23,73,4,23,50,"2","6","3","5","7",3,3,15890,"0"
"1966","Master","Together",33564,"0","1","51",61,0,3,0,0,7,"1","1","1","3","5",4,5,16245,"0"
"1972","Graduation","Together",59868,"0","1","37",771,51,154,54,10,154,"7","11","2","12","6",3,5,15908,"0"
"1961","Graduation","Married",49678,"0","1","81",229,5,56,3,2,20,"2","6","2","4","7",3,3,15738,"0"
"1958","Graduation","Married",67267,"0","1","0",134,11,59,15,2,30,"1","3","2","5","2",3,3,16203,"0"
"1981","PhD","Together",39665,"1","0","97",127,1,56,0,1,31,"3","4","2","3","7",5,5,15850,"0"
"1987","Graduation","Married",7500,"0","0","94",0,2,3,4,1,5,"1","0","0","3","6",3,3,15949,"0"
"1987","Graduation","Single",29236,"1","0","30",37,4,24,16,9,9,"2","4","0","3","9",3,4,15927,"0"
"1956","Graduation","Single",54252,"1","1","25",178,4,26,8,4,44,"5","4","1","5","6",3,4,15853,"0"
"1973","2n Cycle","Married",46094,"1","1","62",12,2,20,3,2,5,"1","1","0","3","7",1,3,16349,"0"
"1974","Master","Widow",41032.3790177214,"1","0","19",384.492480921559,0,37.273095110897,12.8105485602282,6.17400100477971,13.5418218355626,"1","7","4","10","9",4.71145445411094,5.28854554588906,15804.0023452763,"1"
"1978","Master","Single",68092,"0","0","7",852,60,207,78,36,48,"2","2","6","10","5",4,4,16055,"0"
"1969","Graduation","Married",14045,"1","0","24",11,0,5,2,1,1,"1","1","0","3","7",3,3,16096,"0"
"1977","2n Cycle","Married",31056,"1","0","99",5,10,13,3,8,16,"1","1","0","3","8",1,3,15727,"0"
"1980","Master","Married",64349.3559432421,"0","1","4",717.947359889746,0,225.89702257514,12.7003002157435,19.5095821712166,48.7194645581767,"2","3","5","7","8",3.97275456506759,4.94550913013518,16022.0464097774,"1"
"1974","Graduation","Together",48186,"1","0","39",97,3,66,12,7,34,"3","4","1","4","7",3,5,16149,"0"
"1966","Graduation","Together",43482,"2","1","83",18,1,32,6,3,28,"3","2","0","4","6",3,5,16022,"0"
"1947","PhD","Together",73059,"0","1","36",410,112,420,0,82,71,"1","9","3","13","4",5,5,15948,"0"
"1962","Master","Divorced",59432,"0","1","88",317,25,265,25,19,12,"3","5","3","11","5",4,2,15808,"0"
"1967","Graduation","Single",46904,"1","1","20",153,4,56,0,9,31,"4","5","1","4","8",3,4,15410,"0"
"1985","Master","Together",44458.8227736459,"0","1","9",197.864224552643,5.18824105523527,86.9177623272408,2.92967115319334,2.39853013190441,20.4454160297755,"1","5","2","8","4",3.97655705106445,4.97655705106445,15771.6497506935,"1"
"1964","PhD","Single",61798,"0","0","13",338,4,89,11,8,13,"1","4","2","9","4",5,4,16032,"0"
"1981","2n Cycle","Together",19414,"1","0","32",2,3,12,3,5,7,"1","1","0","3","8",1,5,15994,"0"
"1956","Graduation","Married",41102.675897331,"0","1","8",428.480221290607,5.08094337536022,113.07126892684,1.6142881703563,1.07619211357087,16.0047512617894,"2","4","3","5","7",3.92380788642913,4.07619211357087,15959.0241001588,"1"
"1967","Graduation","Divorced",68743,"0","0","81",1132,134,384,175,134,115,"1","11","5","13","7",3,2,15582,"0"
"1965","Graduation","Together",75276,"0","0","2",610,105,125,137,42,21,"1","9","4","9","5",3,5,15610,"0"
"1973","PhD","Married",54222,"0","1","98",199,12,31,3,12,7,"1","3","3","5","3",5,3,16073,"0"
"1973","Graduation","Married",65308,"0","0","60",713,0,264,120,80,34,"1","7","8","12","4",3,3,16018,"0"
"1958","Graduation","Married",61074,"0","1","37",789,0,133,0,28,152,"7","11","5","8","7",3,3,15569,"0"
"1986","Graduation","Single",39146,"1","0","1",94,1,33,13,12,12,"3","4","0","4","8",3,4,15750,"0"
"1974","PhD","Together",45068,"0","1","25",14,0,3,0,0,3,"1","1","0","2","7",5,5,15841,"0"
"1979","Basic","Single",15862,"1","0","26",1,1,4,11,9,10,"1","1","0","3","8",2,4,15883,"0"
"1952","Master","Divorced",59354,"1","1","53",233,2,53,3,5,14,"3","6","1","5","6",4,2,16024,"0"
"1974","PhD","Married",40344,"0","1","48",210,0,6,0,0,2,"2","4","1","5","7",5,3,15991,"0"
"1972","Graduation","Together",84906,"0","0","98",997,15,414,99,30,76,"1","5","6","12","2",3,5,15805,"0"
"1976","Graduation","Divorced",64892,"0","1","77",527,24,230,32,24,65,"2","6","4","12","4",3,2,16219,"0"
"1981","2n Cycle","Single",24336,"1","0","82",1,6,2,8,2,12,"1","1","0","2","7",1,4,15579,"0"
"1969","Graduation","Married",56796,"0","1","24",656,38,161,62,47,37,"3","8","9","7","7",3,3,15752,"0"
"1963","PhD","Single",23091,"1","1","98",35,0,11,0,0,2,"4","2","1","3","7",5,4,16218,"0"
"1980","Graduation","Married",61014,"0","1","17",269,129,495,182,43,29,"4","9","3","4","7",3,3,15652,"0"
"1971","Master","Married",38196,"1","1","20",30,0,11,0,0,3,"3","2","0","4","5",4,3,16178,"0"
"1985","PhD","Married",18169,"1","0","40",9,0,5,0,0,7,"1","1","0","2","8",5,3,15755,"0"
"1967","PhD","Married",56320,"0","1","11",201,53,172,116,77,83,"3","5","4","9","4",5,3,15921,"0"
"1969","Master","Married",43142,"1","1","84",5,1,7,2,1,4,"1","1","0","2","7",4,3,16119,"0"
"1984","Graduation","Married",40059,"1","0","82",110,29,92,28,10,145,"1","6","2","3","8",3,3,15976,"0"
"1970","2n Cycle","Married",33435.1377903654,"0","1","1",352.032321910141,15.786787631223,76.5625176876783,56.0944144916721,22.8219449867029,27.00878933887,"3","1","8","12","8",1.67252622591332,2.33626311295666,15786.9889424252,"1"
"1967","PhD","Single",52569,"0","1","54",85,0,3,0,0,7,"1","2","0","4","3",5,4,16194,"0"
"1949","Graduation","Together",67463.0371075999,"1","1","40",891.389921786264,23.3395051490515,244.939872652292,30.2984419465065,11.6119157299399,39.5708525273949,"3","10","4","4","4",3.23134737834334,4.76865262165666,15740.3094414752,"1"
"1974","Graduation","Together",47889,"1","0","94",29,0,29,0,5,4,"1","2","0","3","5",3,5,16161,"0"
"1975","Graduation","Married",51948,"0","1","51",82,33,54,71,30,41,"2","5","2","4","5",3,3,15965,"0"
"1983","Graduation","Together",43776,"1","0","77",8,0,9,2,1,3,"1","1","0","2","6",3,5,16134,"0"
"1979","Basic","Single",20194,"1","0","64",0,4,7,11,10,15,"2","2","0","3","6",2,4,15691,"0"
"1959","PhD","Single",51381.5,"0","0","80",81,11,50,3,2,39,"1","1","3","4","2",5,4,15836,"0"
"1976","Graduation","Married",30772,"1","1","89",7,2,4,2,1,4,"1","1","0","2","6",3,3,16407,"0"
"1978","Master","Single",35544,"1","0","77",30,5,23,4,1,4,"1","2","0","3","7",4,4,16285,"0"
"1975","Master","Married",54730,"0","1","64",318,3,17,4,7,56,"5","4","1","8","4",4,3,15932,"0"
"1973","Graduation","Together",73926,"0","0","54",627,91,597,159,91,15,"1","6","5","12","3",3,5,15739,"0"
"1972","PhD","Together",34578,"2","1","1",7,0,1,0,0,0,"1","1","0","2","6",5,5,16378,"0"
"1981","Graduation","Together",56386,"1","1","51",230,48,214,13,32,75,"8","9","1","7","9",3,5,15640,"0"
"1964","Graduation","Together",53058.7174141284,"1","1","2",404.4364586093,1.35389874922112,200.587552115787,24.7792066708207,12.6152531269472,51.7840631331783,"1","1","0","2","8",2.77435020846315,3.45129958307371,16039.6346789764,"1"
"1961","Master","Together",48330,"0","1","2",28,0,4,0,0,0,"1","1","0","3","5",4,5,16024,"0"
"1982","Graduation","Single",39660,"1","0","36",139,13,78,20,13,36,"3","7","1","3","9",3,4,15560,"1"
"1961","Graduation","Divorced",43662.81131892,"1","0","26",645.969261291437,7.45590206002817,47.5734965666197,12.4265034333803,5.46766151068732,47.8588865920901,"3","9","2","2","7",4.00587972532958,2.99412027467042,15647.9497989877,"1"
"1968","Master","Married",70777,"0","1","80",554,35,113,0,7,78,"3","5","3","12","3",4,3,16126,"0"
"1976","Graduation","Single",47025,"0","1","52",254,7,108,20,0,26,"3","6","3","5","6",3,4,15897,"0"
"1977","Graduation","Single",23763,"1","0","64",22,0,6,6,2,6,"1","1","0","3","7",3,4,15529,"0"
"1965","Graduation","Together",29672,"1","1","6",9,1,3,0,4,8,"1","0","0","3","6",3,5,16042,"0"
"1954","Graduation","Married",46734,"0","1","40",110,5,137,26,23,29,"2","6","1","5","7",3,3,15662,"0"
"1984","2n Cycle","Together",32414,"0","0","11",20,6,5,0,9,12,"1","1","0","3","7",1,5,15802,"0"
"1970","Graduation","Together",38200,"1","1","19",12,0,4,0,0,1,"1","1","0","2","7",3,5,15533,"0"
"1989","2n Cycle","Married",59060,"1","0","77",35,40,111,36,40,12,"3","3","1","7","4",1,3,16375,"0"
"1984","Graduation","Married",55434,"1","0","21",238,115,215,169,69,76,"3","5","3","13","4",3,3,15835,"0"
"1959","2n Cycle","Divorced",59052,"0","1","29",230,35,75,63,57,31,"3","7","1","7","5",1,2,16026,"0"
"1990","Graduation","Married",18351,"0","0","1",1,12,9,0,14,7,"1","2","0","3","7",3,3,16007,"0"
